,Asthma,Carcinogenic,Cardiovascular.toxicity,Cytotoxic,Deregulation.of.cellular.metabolism,Endocrine.deregulation.disruption,Environmental.hazard,Genotoxic,Hepatotoxic,Immunotoxic,Intestinal.toxicity,Lung.fibrosis,Nephrotoxic,Neurotoxic,Reproductive.toxicity,Skin.irritation,Skin.sensitizatioin,global,0,1
22,0.029000000000000026,0.052000000000000046,0.08899999999999997,0.10699999999999998,0.020000000000000018,0.04700000000000004,0.031000000000000028,0.11499999999999999,0.016000000000000014,0.118,0.01100000000000001,0.05500000000000005,0.08599999999999997,0.08099999999999996,0.10499999999999998,0.026000000000000023,0.031000000000000028,0.014590240460837539,23_Au-30,Gold
23,0.05700000000000005,0.04700000000000004,0.15600000000000003,0.061000000000000054,0.019000000000000017,0.05300000000000005,0.04300000000000004,0.11399999999999999,0.03400000000000003,0.11499999999999999,0.02100000000000002,0.05800000000000005,0.08099999999999996,0.09299999999999997,0.06299999999999994,0.03500000000000003,0.030000000000000027,0.016741661596027482,24_GNPs,Gold
24,0.16500000000000004,0.23299999999999998,0.654,0.938,0.732,0.18000000000000005,0.249,0.933,0.654,0.805,0.28800000000000003,0.05700000000000005,0.494,0.645,0.638,0.17300000000000004,0.15500000000000003,0.3114167275783551,25_Au5_NR3+,Gold
25,0.07599999999999996,0.08899999999999997,0.15000000000000002,0.30800000000000005,0.12,0.049000000000000044,0.03700000000000003,0.266,0.07899999999999996,0.269,0.038000000000000034,0.049000000000000044,0.08199999999999996,0.16100000000000003,0.06000000000000005,0.10099999999999998,0.03300000000000003,0.016970883453756903,26_Au5_COOH,Gold
26,0.028000000000000025,0.08799999999999997,0.05400000000000005,0.16900000000000004,0.19799999999999995,0.03300000000000003,0.03600000000000003,0.18799999999999994,0.07199999999999995,0.20899999999999996,0.041000000000000036,0.04700000000000004,0.07699999999999996,0.04500000000000004,0.05900000000000005,0.16000000000000003,0.04600000000000004,0.016571955536739673,27_Au5_PEG,Gold
27,0.18999999999999995,0.236,0.251,0.717,0.262,0.248,0.266,0.633,0.396,0.511,0.261,0.052000000000000046,0.637,0.648,0.67,0.04800000000000004,0.14,0.08284914679335872,28_Au20_NR3+,Gold
28,0.041000000000000036,0.050000000000000044,0.04500000000000004,0.08099999999999996,0.01100000000000001,0.039000000000000035,0.02200000000000002,0.07099999999999995,0.019000000000000017,0.07599999999999996,0.013000000000000012,0.03400000000000003,0.04800000000000004,0.10199999999999998,0.03500000000000003,0.020000000000000018,0.02200000000000002,0.014432406170445061,29_Au20_COOH,Gold
1,0.07399999999999995,0.23399999999999999,0.347,0.956,0.95,0.504,0.985,0.642,0.979,0.874,0.816,0.28300000000000003,0.919,0.823,0.766,0.738,0.378,0.9585684485979624,2_BioPure Ag-20,Silver
29,0.019000000000000017,0.05900000000000005,0.05900000000000005,0.03300000000000003,0.006000000000000005,0.027000000000000024,0.025000000000000022,0.03400000000000003,0.02200000000000002,0.15600000000000003,0.010000000000000009,0.02300000000000002,0.04400000000000004,0.03600000000000003,0.04600000000000004,0.029000000000000026,0.03600000000000003,0.014380473207475498,30_Au20_PEG,Gold
30,0.06499999999999995,0.061000000000000054,0.15800000000000003,0.03400000000000003,0.07499999999999996,0.05400000000000005,0.04600000000000004,0.242,0.02400000000000002,0.126,0.015000000000000013,0.09699999999999998,0.07999999999999996,0.17900000000000005,0.061000000000000054,0.03300000000000003,0.038000000000000034,0.01272059213993389,31_GNPs,Gold
